Region,Station
Seomjin-main_down,16.516
Seomjin-main_down,16
Seomjin-main_down,15.5
Seomjin-main_down,15
Seomjin-main_down,14.797
Seomjin-main_down,14.5
Seomjin-main_down,14.353
Seomjin-main_down,14
Seomjin-main_down,13.736
Seomjin-main_down,13.5
Seomjin-main_down,13
Seomjin-main_down,12.836
Seomjin-main_down,12.5
Seomjin-main_down,12
Seomjin-main_down,11.5
Seomjin-main_down,11
Seomjin-main_down,10.5
Seomjin-main_down,10.144
Seomjin-main_down,10
Seomjin-main_down,9.923
Seomjin-main_down,9.5
Seomjin-main_down,9
Seomjin-main_down,8.5
Seomjin-main_down,8
Seomjin-main_down,7.5
Seomjin-main_down,7.127
Seomjin-main_down,7
Seomjin-main_down,6.5
Seomjin-main_down,6
Seomjin-main_down,5.5
Seomjin-main_down,5
Seomjin-main_down,4.712
Seomjin-main_down,4.5
Seomjin-main_down,4.101
Seomjin-main_down,4
Seomjin-main_down,3.5
Seomjin-main_down,3
Seomjin-main_down,2.5
Seomjin-main_down,2.192
Seomjin-main_down,2
Seomjin-main_down,1.5
Seomjin-main_down,1
Seomjin-main_down,0.5
Seomjin-main_down,0
Seomjin-main_down,-1
Seomjin-main_down,-2
