River,Reach,Station,MAX_WL
Seomjin,main,65.400,44.077805
Seomjin,main,65.200,43.990192
Seomjin,main,65.000,44.004379
Seomjin,main,64.800,44.055340
Seomjin,main,64.715,44.060234
Seomjin,main,64.600,43.972824
Seomjin,main,64.400,43.829887
Seomjin,main,64.200,43.690414
Seomjin,main,64.000,43.537514
Seomjin,main,63.800,43.329842
Seomjin,main,63.600,43.174232
Seomjin,main,63.400,43.079140
Seomjin,main,63.200,42.990013
Seomjin,main,63.000,42.916161
Seomjin,main,62.800,42.835354
Seomjin,main,62.600,42.743130
Seomjin,main,62.400,42.664436
Seomjin,main,62.162,42.676086
Seomjin,main,62.000,42.798031
Seomjin,boseong,25.970,69.099258
Seomjin,boseong,25.770,69.082687
Seomjin,boseong,25.570,69.344315
Seomjin,boseong,25.370,68.845673
Seomjin,boseong,25.283,67.868675
Seomjin,boseong,25.170,67.523514
Seomjin,boseong,24.970,67.183395
Seomjin,boseong,24.744,66.819969
Seomjin,boseong,24.542,66.607529
Seomjin,boseong,24.370,66.441132
Seomjin,boseong,24.287,66.147705
Seomjin,boseong,24.170,65.900734
Seomjin,boseong,23.970,65.689049
Seomjin,boseong,23.740,65.444046
Seomjin,boseong,23.540,65.206047
Seomjin,boseong,23.340,64.880585
Seomjin,boseong,23.140,64.475677
Seomjin,boseong,22.940,64.129761
Seomjin,boseong,22.740,63.892792
Seomjin,boseong,22.540,63.593254
Seomjin,boseong,22.340,63.344208
Seomjin,boseong,22.162,63.168587
Seomjin,boseong,22.103,62.953991
Seomjin,boseong,21.940,62.789680
Seomjin,boseong,21.740,62.703548
Seomjin,boseong,21.540,62.671478
Seomjin,boseong,21.320,62.610947
Seomjin,boseong,21.170,62.504761
Seomjin,boseong,20.970,62.422997
Seomjin,boseong,20.800,62.351349
Seomjin,boseong,20.590,62.193657
Seomjin,boseong,20.390,61.983612
Seomjin,boseong,20.190,61.773098
Seomjin,boseong,19.990,61.486557
Seomjin,boseong,19.790,61.213100
Seomjin,boseong,19.575,61.035210
Seomjin,boseong,19.375,60.923370
Seomjin,boseong,19.160,60.803284
Seomjin,boseong,18.960,60.613392
Seomjin,boseong,18.760,60.444939
Seomjin,boseong,18.560,60.369423
Seomjin,boseong,18.360,60.328220
Seomjin,boseong,18.160,60.230152
Seomjin,boseong,17.970,60.033779
Seomjin,boseong,17.770,59.815376
Seomjin,boseong,17.570,59.647404
Seomjin,boseong,17.370,59.468086
Seomjin,boseong,17.170,59.293274
Seomjin,boseong,16.970,59.121693
Seomjin,boseong,16.796,58.826324
Seomjin,boseong,16.648,58.556854
Seomjin,boseong,16.555,58.492210
Seomjin,boseong,16.355,58.393425
Seomjin,boseong,16.155,58.229538
Seomjin,boseong,15.960,58.093910
Seomjin,boseong,15.765,57.946793
Seomjin,boseong,15.565,57.804443
Seomjin,boseong,15.365,57.654907
Seomjin,boseong,15.165,57.500862
Seomjin,boseong,14.965,57.343449
Seomjin,boseong,14.770,57.092136
Seomjin,boseong,14.570,56.867088
Seomjin,boseong,14.385,56.578487
Seomjin,boseong,14.190,56.316921
Seomjin,boseong,13.990,56.198555
Seomjin,boseong,13.790,56.074173
Seomjin,boseong,13.590,56.070061
Seomjin,boseong,13.395,56.055866
Seomjin,boseong,13.190,55.943443
Seomjin,boseong,12.990,55.736954
Seomjin,boseong,12.805,55.450985
Seomjin,boseong,12.610,55.192535
Seomjin,boseong,12.410,54.970551
Seomjin,boseong,12.210,54.745667
Seomjin,boseong,12.010,54.490662
Seomjin,boseong,11.810,54.265827
Seomjin,boseong,11.733,54.138168
Seomjin,boseong,11.610,54.069237
Seomjin,boseong,11.410,53.924698
Seomjin,boseong,11.210,53.539291
Seomjin,boseong,11.010,53.174759
Seomjin,boseong,10.810,52.932865
Seomjin,boseong,10.600,52.712425
Seomjin,boseong,10.400,52.506348
Seomjin,boseong,10.200,52.180981
Seomjin,boseong,10.000,51.942741
Seomjin,boseong,9.800,51.760735
Seomjin,boseong,9.600,51.341396
Seomjin,boseong,9.400,51.004272
Seomjin,boseong,9.200,50.778030
Seomjin,boseong,9.000,50.522537
Seomjin,boseong,8.800,50.321503
Seomjin,boseong,8.600,50.152435
Seomjin,boseong,8.400,50.079166
Seomjin,boseong,8.200,49.992851
Seomjin,boseong,8.000,49.739986
Seomjin,boseong,7.800,49.362751
Seomjin,boseong,7.600,48.986313
Seomjin,boseong,7.400,48.535126
Seomjin,boseong,7.200,48.009880
Seomjin,boseong,7.000,47.767639
Seomjin,boseong,6.800,47.546471
Seomjin,boseong,6.600,47.165215
Seomjin,boseong,6.400,46.910900
Seomjin,boseong,6.200,46.700668
Seomjin,boseong,6.000,46.593155
Seomjin,boseong,5.800,46.423820
Seomjin,boseong,5.600,46.092072
Seomjin,boseong,5.400,45.708061
Seomjin,boseong,5.285,45.419479
Seomjin,boseong,5.200,45.215652
Seomjin,boseong,5.000,45.190968
Seomjin,boseong,4.800,45.220772
Seomjin,boseong,4.600,45.007469
Seomjin,boseong,4.400,44.773544
Seomjin,boseong,4.200,44.575684
Seomjin,boseong,4.000,44.260460
Seomjin,boseong,3.790,43.953236
Seomjin,boseong,3.590,43.734123
Seomjin,boseong,3.390,43.540184
Seomjin,boseong,3.190,43.384048
Seomjin,boseong,2.990,43.345695
Seomjin,boseong,2.790,43.311058
Seomjin,boseong,2.600,43.234718
Seomjin,boseong,2.400,43.233025
Seomjin,boseong,2.200,43.172359
